id,id_sent,message,viewed,id_recieved,stories,event_datetime
1,169,I'm not fat,0,988,,2022-05-21 06:27:13
2,447,,,,Why did the coffee file a police report? It got mugged!,2022-06-19 00:33:11
3,865,I'm just on energy-saving mode.,1,627,,2022-10-13 22:45:36
4,848,,,,What did the grape say when it got stepped on? Nothing,2022-08-26 20:30:17
5,986,,,,Why did the chicken cross the playground? To get to the other slide!,2022-04-06 18:24:49
6,786,,,,it just let out a little wine!,2022-04-11 03:28:04
7,668,,,,Why did the chicken cross the playground? To get to the other slide!,2022-10-12 16:32:27
8,587,,,,Why did the chicken cross the playground? To get to the other slide!,2022-12-23 12:09:37
9,597,,,,What do you call an alligator in a vest? An investigator!,2022-09-09 23:18:58
10,546,I'm just limited edition.,1,887,,2022-05-06 10:44:45
11,701,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-05-14 11:43:04
12,351,I'm not lazy,1,151,,2023-02-02 12:30:01
13,652,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-01-31 21:28:47
14,837,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-02-20 03:38:31
15,428,I'm just taking the floor for a hug!,1,307,,2022-08-02 20:30:02
16,486,I'm not weird,0,714,,2022-02-23 06:52:19
17,43,I'm not lazy,0,675,,2023-01-30 13:16:52
18,458,Why do they put locks on the doors of 24-hour stores?,1,508,,2022-12-16 11:39:09
19,440,,,,Why don't skeletons fight each other? They don't have the guts!,2022-11-24 09:57:57
20,269,I'm not lazy,1,249,,2022-03-25 02:08:10
21,140,If money doesn't grow on trees,0,449,,2022-03-29 15:14:01
22,260,,,,Why don't scientists trust atoms? Because they make up everything!,2022-03-28 04:37:04
23,408,,,,Why did the coffee file a police report? It got mugged!,2022-07-14 23:27:40
24,515,I'm just conserving energy.,0,915,,2022-12-27 07:55:07
25,933,I'm just conserving energy.,1,308,,2022-10-04 00:49:46
26,22,,,,it just let out a little wine!,2022-06-22 22:13:25
27,273,,,,What do you call an alligator in a vest? An investigator!,2022-10-03 20:34:23
28,916,I'm not clumsy,0,761,,2022-12-05 17:41:38
29,887,I'm just conserving energy.,1,968,,2022-11-05 18:35:18
30,483,I'm not fat,1,483,,2023-01-23 01:38:05
31,732,I'm not arguing,1,48,,2022-10-16 12:26:26
32,938,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-11-16 04:48:19
33,786,then skydiving isn't for you.,0,247,,2022-11-19 06:41:17
34,896,I'm just using my outside voice.,1,888,,2022-04-30 10:56:44
35,573,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2023-02-09 16:49:36
36,477,,,,What do you call an alligator in a vest? An investigator!,2022-05-01 15:04:35
37,279,,,,Why did the coffee file a police report? It got mugged!,2022-06-06 02:25:50
38,942,If money doesn't grow on trees,0,70,,2022-09-06 22:27:50
39,220,I'm just on my own timezone.,0,776,,2022-11-24 19:55:43
40,249,,,,What did the grape say when it got stepped on? Nothing,2022-11-07 01:49:24
41,798,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-07-10 18:25:46
42,524,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-10-04 18:10:10
43,43,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2023-01-09 20:02:19
44,684,,,,Why don't skeletons fight each other? They don't have the guts!,2022-09-03 08:09:42
45,681,,,,What do you call an alligator in a vest? An investigator!,2022-10-07 18:56:47
46,394,then why do banks have branches?,1,214,,2022-10-15 11:56:45
47,510,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-11-09 10:30:15
48,350,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-06-21 20:50:36
49,975,,,,Why did the coffee file a police report? It got mugged!,2022-09-20 13:40:53
50,871,I'm just concentrated awesome!,0,499,,2022-11-17 17:02:35
51,190,then why do banks have branches?,1,28,,2022-10-23 19:24:08
52,525,Why do they call it rush hour when nothing moves?,1,58,,2022-04-08 12:12:07
53,826,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-10-17 03:34:30
54,299,,,,Why don't scientists trust atoms? Because they make up everything!,2022-11-19 01:10:45
55,165,,,,it just let out a little wine!,2022-09-15 22:26:15
56,797,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-01-18 20:56:37
57,771,I'm not arguing,0,621,,2022-07-18 16:43:02
58,262,,,,Why did the chicken cross the playground? To get to the other slide!,2022-10-23 10:06:12
59,192,I'm just on energy-saving mode.,0,419,,2022-12-25 09:59:03
60,408,I'm not weird,0,207,,2022-11-21 15:35:51
61,543,I'm just conserving energy.,1,346,,2022-08-12 17:15:48
62,543,I'm not late,1,818,,2022-04-06 06:51:44
63,999,,,,it just let out a little wine!,2023-01-01 03:11:05
64,627,,,,it just let out a little wine!,2022-07-28 20:10:31
65,834,I'm just easier to see!,0,906,,2022-04-18 07:23:26
66,471,I'm not lazy,0,830,,2022-10-23 12:09:37
67,837,I'm just concentrated awesome!,0,425,,2022-04-15 14:44:10
68,384,,,,Why don't skeletons fight each other? They don't have the guts!,2022-07-27 18:26:22
69,450,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-11-30 04:45:19
70,865,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-12-08 07:13:44
71,998,I'm just explaining why I'm right.,1,566,,2022-05-12 00:09:28
72,869,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2023-02-16 07:39:31
73,422,I'm not arguing,1,752,,2022-08-30 14:52:27
74,531,I'm just explaining why I'm right.,0,19,,2022-04-11 22:31:55
75,499,then why do banks have branches?,1,99,,2023-02-02 05:54:04
76,140,,,,Why don't scientists trust atoms? Because they make up everything!,2022-03-19 08:11:53
77,237,I'm just conserving energy.,1,934,,2022-07-17 13:59:15
78,620,If money doesn't grow on trees,1,563,,2023-02-21 01:20:56
79,662,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-04-18 21:19:22
80,947,,,,Why did the chicken cross the playground? To get to the other slide!,2022-08-01 20:18:20
81,370,,,,What do you call an alligator in a vest? An investigator!,2022-12-16 05:41:01
82,538,I'm just conserving energy.,1,930,,2022-09-09 01:31:17
83,944,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-04-28 03:38:05
84,748,I'm not lazy,1,189,,2022-08-08 06:14:19
85,272,,,,What do you call an alligator in a vest? An investigator!,2022-12-09 12:04:29
86,7,I'm not weird,0,495,,2022-08-03 03:01:28
87,820,,,,Why don't scientists trust atoms? Because they make up everything!,2023-01-27 16:30:13
88,519,I'm just conserving energy.,0,513,,2022-04-23 13:43:30
89,814,I'm just concentrated awesome!,1,244,,2022-05-05 16:49:54
90,387,I'm just limited edition.,0,974,,2022-08-14 21:44:15
91,821,,,,Why did the coffee file a police report? It got mugged!,2022-07-30 04:59:03
92,194,,,,Why did the chicken cross the playground? To get to the other slide!,2022-02-22 05:03:01
93,768,I'm just conserving energy.,0,788,,2022-05-12 14:40:06
94,458,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-08-23 14:56:17
95,342,,,,it just let out a little wine!,2023-01-13 19:10:39
96,363,I'm just explaining why I'm right.,0,709,,2022-11-08 18:49:54
97,951,,,,Why did the tomato turn red? Because it saw the salad dressing!,2023-01-08 08:47:33
98,327,,,,Why did the coffee file a police report? It got mugged!,2022-05-16 11:47:40
99,471,If money doesn't grow on trees,0,626,,2022-03-16 16:56:27
100,560,I'm not clumsy,0,407,,2022-12-18 14:29:06
101,310,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-08-31 13:43:51
102,342,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-09-13 06:49:09
103,582,,,,it just let out a little wine!,2022-12-16 05:27:51
104,591,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-06-19 18:55:53
105,446,Why do they call it rush hour when nothing moves?,0,947,,2022-07-25 05:38:31
106,580,Why do they call it rush hour when nothing moves?,0,649,,2022-09-25 21:45:45
107,207,I'm not fat,0,74,,2023-02-22 02:57:02
108,375,I'm not weird,1,166,,2022-08-30 23:53:33
109,263,Why do we park in a driveway and drive on a parkway?,0,496,,2022-08-10 20:27:33
110,9,If money doesn't grow on trees,0,1000,,2022-10-25 21:34:05
111,355,then why do banks have branches?,1,638,,2022-03-07 10:43:40
112,679,Why do we say heads up when we actually duck?,1,362,,2023-01-21 19:12:40
113,789,I'm just on energy-saving mode.,0,386,,2022-02-24 23:44:51
114,887,,,,Why don't skeletons fight each other? They don't have the guts!,2022-03-09 00:08:41
115,768,,,,Why don't scientists trust atoms? Because they make up everything!,2022-04-12 08:21:10
116,736,I'm just taking the floor for a hug!,0,629,,2022-04-01 18:15:01
117,840,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-05-23 18:37:35
118,319,I'm just on energy-saving mode.,1,480,,2022-08-17 15:46:33
119,907,I'm just limited edition.,0,615,,2023-02-06 01:05:19
120,525,I'm not lazy,1,172,,2022-08-25 23:27:08
121,406,I'm not lazy,0,633,,2022-07-12 16:06:47
122,779,,,,What did the grape say when it got stepped on? Nothing,2023-01-09 03:34:38
123,422,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-12-19 18:00:57
124,482,I'm just using my outside voice.,0,355,,2022-12-01 06:03:18
125,397,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-02-11 16:23:14
126,683,I'm just using my outside voice.,1,334,,2022-03-01 10:50:19
127,901,then why do banks have branches?,1,662,,2022-12-29 18:22:09
128,1000,,,,Why did the coffee file a police report? It got mugged!,2022-10-29 03:07:48
129,254,I'm just easier to see!,0,373,,2022-10-06 13:03:15
130,892,Why do they call it rush hour when nothing moves?,1,442,,2022-06-30 03:28:33
131,65,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-05-21 19:55:18
132,89,then skydiving isn't for you.,0,486,,2023-01-08 23:00:14
133,109,,,,it just let out a little wine!,2022-07-04 17:19:11
134,141,,,,What do you call an alligator in a vest? An investigator!,2022-11-06 15:06:29
135,500,,,,it just let out a little wine!,2022-06-22 01:44:34
136,10,,,,Why did the coffee file a police report? It got mugged!,2022-12-22 13:40:50
137,986,,,,What do you call an alligator in a vest? An investigator!,2022-04-16 11:28:19
138,781,,,,What do you call an alligator in a vest? An investigator!,2022-04-08 23:45:30
139,440,I'm not short,0,541,,2022-03-28 02:04:02
140,701,I'm not lazy,1,78,,2022-08-25 15:41:55
141,337,then why do banks have branches?,0,689,,2022-06-14 12:20:37
142,349,then skydiving isn't for you.,1,401,,2022-03-13 12:42:47
143,422,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-06-19 09:48:03
144,911,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-08-03 20:39:36
145,800,,,,Why don't scientists trust atoms? Because they make up everything!,2022-03-24 20:04:29
146,45,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-12-20 23:00:27
147,707,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-08-30 05:02:09
148,849,If money doesn't grow on trees,0,567,,2022-07-11 04:22:05
149,359,I'm not lazy,1,502,,2023-01-19 12:47:27
150,854,If money doesn't grow on trees,0,723,,2022-11-24 02:30:19
151,439,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-05-28 09:41:41
152,191,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-07-17 19:26:58
153,766,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-09-14 00:23:01
154,597,I'm just taking the floor for a hug!,1,764,,2022-07-03 01:18:50
155,323,I'm not arguing,0,251,,2022-03-26 20:17:40
156,815,I'm just on my own timezone.,1,527,,2022-10-27 21:24:58
157,413,then skydiving isn't for you.,1,533,,2022-11-10 07:29:44
158,236,I'm not lazy,1,594,,2022-04-05 13:49:25
159,390,Why do we park in a driveway and drive on a parkway?,1,15,,2023-01-22 19:11:00
160,530,I'm not lazy,0,153,,2023-01-18 06:20:43
161,946,,,,Why did the chicken cross the playground? To get to the other slide!,2022-04-04 16:00:20
162,322,I'm not short,1,203,,2022-07-14 20:19:14
163,766,I'm not fat,0,222,,2022-05-18 21:24:20
164,611,I'm just easier to see!,0,808,,2022-05-11 11:39:44
165,961,I'm not arguing,0,785,,2022-03-26 05:14:03
166,864,I'm not arguing,1,749,,2022-09-23 17:24:33
167,261,I'm just on my own timezone.,1,150,,2022-11-15 07:05:35
168,495,I'm not lazy,0,608,,2023-01-28 07:08:36
169,561,then why do banks have branches?,1,295,,2022-12-04 19:19:41
170,379,,,,Why don't skeletons fight each other? They don't have the guts!,2022-12-09 10:59:53
171,497,I'm not arguing,0,275,,2022-10-07 19:46:10
172,263,If money doesn't grow on trees,1,875,,2022-07-03 22:43:10
173,474,Why do they put locks on the doors of 24-hour stores?,0,343,,2022-07-22 00:07:24
174,235,,,,Why don't scientists trust atoms? Because they make up everything!,2023-02-21 18:37:19
175,252,I'm just limited edition.,1,989,,2022-06-16 07:59:42
176,655,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-04-21 12:30:11
177,505,I'm just easier to see!,1,413,,2023-01-06 20:09:55
178,185,,,,Why don't skeletons fight each other? They don't have the guts!,2022-11-26 23:59:24
179,366,I'm just easier to see!,0,911,,2022-08-29 11:05:38
180,38,I'm not lazy,1,655,,2022-02-27 11:51:56
181,486,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-10-18 12:45:22
182,772,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-07-16 22:50:03
183,171,,,,What do you call an alligator in a vest? An investigator!,2022-09-29 08:39:48
184,667,,,,What did the grape say when it got stepped on? Nothing,2022-07-26 07:38:22
185,92,I'm just conserving energy.,0,448,,2022-03-16 00:43:09
186,876,,,,Why don't scientists trust atoms? Because they make up everything!,2022-05-20 00:40:21
187,587,I'm not weird,0,258,,2022-12-12 00:36:18
188,966,I'm not short,1,307,,2023-02-19 00:31:40
189,261,Why do they put locks on the doors of 24-hour stores?,1,552,,2022-11-01 16:18:31
190,321,,,,What do you call an alligator in a vest? An investigator!,2022-06-06 17:31:23
191,847,,,,Why don't skeletons fight each other? They don't have the guts!,2023-01-14 00:51:16
192,464,Why do they put locks on the doors of 24-hour stores?,1,290,,2022-09-22 14:24:25
193,167,If at first you don't succeed,0,739,,2023-01-19 08:23:10
194,572,,,,Why don't skeletons fight each other? They don't have the guts!,2022-08-23 13:33:53
195,110,,,,it just let out a little wine!,2022-10-23 11:33:05
196,819,I'm just easier to see!,1,143,,2022-12-28 15:54:28
197,667,I'm not arguing,1,106,,2022-08-28 11:34:52
198,20,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-10-22 08:10:44
199,641,I'm just on my own timezone.,0,200,,2022-04-01 17:57:27
200,854,I'm just explaining why I'm right.,0,209,,2022-06-26 03:31:47
201,716,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-10-04 15:15:43
202,402,,,,What do you call an alligator in a vest? An investigator!,2022-11-05 23:25:36
203,527,,,,it just let out a little wine!,2023-01-20 22:57:34
204,461,,,,it just let out a little wine!,2023-01-02 14:19:39
205,978,,,,Why did the coffee file a police report? It got mugged!,2022-05-04 07:26:47
206,828,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-04-20 12:12:37
207,719,I'm just conserving energy.,0,15,,2022-08-21 15:58:24
208,688,I'm just taking the floor for a hug!,1,856,,2022-10-07 01:56:48
209,861,,,,it just let out a little wine!,2022-03-28 19:23:57
210,649,,,,What do you call an alligator in a vest? An investigator!,2022-10-15 05:52:25
211,945,I'm just concentrated awesome!,1,574,,2022-04-30 21:14:29
212,428,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-04-06 09:52:25
213,721,If at first you don't succeed,0,954,,2022-10-03 20:51:09
214,549,I'm not fat,0,947,,2022-11-02 20:33:33
215,682,I'm just explaining why I'm right.,1,379,,2022-02-20 22:44:37
216,838,I'm just taking the floor for a hug!,0,155,,2023-01-03 19:15:00
217,960,I'm just taking the floor for a hug!,1,405,,2022-10-07 09:38:49
218,602,,,,Why did the chicken cross the playground? To get to the other slide!,2022-08-29 08:03:04
219,260,I'm not arguing,0,784,,2022-06-19 21:23:39
220,391,I'm just explaining why I'm right.,1,350,,2023-01-15 20:22:16
221,975,I'm just easier to see!,1,63,,2022-05-22 15:58:22
222,466,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2023-02-15 02:59:01
223,54,,,,Why did the chicken cross the playground? To get to the other slide!,2022-12-22 19:18:09
224,16,Why do we park in a driveway and drive on a parkway?,0,757,,2022-11-12 23:50:17
225,405,I'm just taking the floor for a hug!,0,762,,2022-03-26 16:21:20
226,627,,,,Why don't scientists trust atoms? Because they make up everything!,2022-09-28 16:11:09
227,336,Why do we park in a driveway and drive on a parkway?,1,974,,2022-08-21 07:52:18
228,429,I'm not arguing,1,696,,2022-04-10 13:53:58
229,645,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-04-07 21:24:48
230,675,I'm just on energy-saving mode.,0,996,,2022-10-30 10:49:22
231,142,,,,Why did the coffee file a police report? It got mugged!,2022-06-18 12:47:35
232,788,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-11-11 19:13:30
233,44,I'm just explaining why I'm right.,1,388,,2023-02-04 16:11:16
234,418,I'm just on energy-saving mode.,1,350,,2022-12-20 16:53:53
235,730,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-01-28 21:12:46
236,757,Why do we say heads up when we actually duck?,1,791,,2022-12-27 00:50:36
237,639,,,,Why did the coffee file a police report? It got mugged!,2022-10-27 04:46:02
238,150,then why do banks have branches?,0,858,,2022-10-15 17:45:30
239,117,I'm just concentrated awesome!,0,912,,2022-06-25 08:37:05
240,938,I'm not arguing,0,418,,2023-01-03 10:08:15
241,827,I'm just easier to see!,0,445,,2023-01-22 03:23:57
242,230,,,,Why don't skeletons fight each other? They don't have the guts!,2022-09-29 09:35:32
243,220,I'm not lazy,0,66,,2022-02-22 19:52:06
244,305,,,,Why don't skeletons fight each other? They don't have the guts!,2022-04-09 10:36:38
245,823,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-07-05 04:56:47
246,81,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-06-14 13:26:54
247,667,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-02-26 13:48:36
248,675,Why do we say heads up when we actually duck?,0,442,,2022-09-18 16:37:04
249,428,,,,Why don't skeletons fight each other? They don't have the guts!,2022-04-19 09:59:54
250,769,I'm not lazy,0,340,,2023-01-27 08:48:38
251,277,I'm just using my outside voice.,0,919,,2022-09-13 19:23:26
252,310,,,,Why did the chicken cross the playground? To get to the other slide!,2022-03-13 14:02:18
253,430,Why do they call it rush hour when nothing moves?,1,204,,2023-01-15 09:43:17
254,281,I'm not fat,0,475,,2022-09-14 21:29:25
255,216,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-04-13 15:08:17
256,285,I'm just easier to see!,0,583,,2023-02-19 15:32:05
257,610,,,,it just let out a little wine!,2022-12-01 20:17:53
258,42,,,,What did the grape say when it got stepped on? Nothing,2022-05-17 02:59:10
259,412,Why do they call it rush hour when nothing moves?,1,973,,2022-08-22 18:31:49
260,715,,,,it just let out a little wine!,2022-02-22 15:27:55
261,35,then skydiving isn't for you.,0,816,,2023-01-31 09:27:48
262,289,I'm just explaining why I'm right.,1,569,,2023-01-30 02:12:40
263,686,,,,Why did the coffee file a police report? It got mugged!,2022-10-10 23:24:19
264,278,I'm not lazy,0,182,,2022-07-07 22:59:52
265,978,,,,What did the grape say when it got stepped on? Nothing,2022-04-01 13:12:47
266,435,Why do we park in a driveway and drive on a parkway?,0,459,,2022-07-10 07:23:36
267,630,,,,Why don't skeletons fight each other? They don't have the guts!,2022-02-18 01:09:29
268,616,I'm not lazy,1,112,,2022-02-22 02:00:19
269,30,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-07-15 13:51:50
270,550,If money doesn't grow on trees,1,665,,2022-03-16 23:09:58
271,390,Why do they put locks on the doors of 24-hour stores?,0,781,,2022-05-09 19:12:50
272,388,I'm not clumsy,0,892,,2022-04-22 19:40:08
273,3,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-08-02 15:24:59
274,16,I'm not arguing,1,642,,2022-06-18 04:09:51
275,110,,,,What did the grape say when it got stepped on? Nothing,2022-12-31 23:04:42
276,694,then skydiving isn't for you.,1,140,,2022-03-28 13:21:59
277,201,I'm just easier to see!,0,593,,2022-10-05 14:38:18
278,847,Why do we say heads up when we actually duck?,0,897,,2022-03-17 19:54:28
279,94,I'm just conserving energy.,0,416,,2023-01-18 16:24:01
280,420,,,,Why don't scientists trust atoms? Because they make up everything!,2022-10-08 05:39:27
281,56,Why do they put locks on the doors of 24-hour stores?,0,677,,2022-09-09 09:30:01
282,613,,,,Why don't scientists trust atoms? Because they make up everything!,2022-09-26 11:01:30
283,273,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-12-05 13:18:17
284,827,,,,What do you call an alligator in a vest? An investigator!,2022-08-06 23:54:48
285,193,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-08-13 17:42:51
286,962,,,,What did the grape say when it got stepped on? Nothing,2022-09-10 13:59:03
287,922,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-11-14 16:12:46
288,118,,,,Why did the coffee file a police report? It got mugged!,2022-07-23 04:41:58
289,522,I'm not clumsy,0,761,,2022-06-25 12:19:57
290,637,I'm not short,1,788,,2022-08-18 16:59:05
291,456,,,,What did the grape say when it got stepped on? Nothing,2023-02-18 12:46:40
292,194,,,,Why did the chicken cross the playground? To get to the other slide!,2023-01-24 10:43:00
293,855,,,,What do you get when you cross a snowman and a shark? Frostbite!,2022-05-10 07:32:18
294,991,Why do we say heads up when we actually duck?,0,547,,2022-02-18 15:58:15
295,787,,,,Why did the chicken cross the playground? To get to the other slide!,2022-12-04 16:07:12
296,96,I'm not lazy,0,735,,2022-11-22 08:54:10
297,846,Why do we say heads up when we actually duck?,1,477,,2022-09-28 08:46:21
298,130,I'm just concentrated awesome!,0,5,,2022-06-27 00:45:10
299,907,,,,Why don't scientists trust atoms? Because they make up everything!,2022-12-11 21:52:24
300,734,I'm not arguing,0,519,,2022-03-07 20:02:23
301,954,I'm not short,0,672,,2022-03-21 23:50:45
302,329,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-07-15 04:32:42
303,389,,,,Why don't skeletons fight each other? They don't have the guts!,2023-01-01 22:28:11
304,9,then why do banks have branches?,1,70,,2022-07-28 20:19:22
305,720,If at first you don't succeed,0,237,,2022-10-24 20:10:33
306,407,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-02-06 03:20:24
307,399,I'm just explaining why I'm right.,1,62,,2022-07-10 12:52:16
308,409,,,,Why don't scientists trust atoms? Because they make up everything!,2022-03-01 13:55:28
309,166,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2023-01-14 03:10:49
310,862,I'm not fat,1,691,,2023-02-03 11:45:23
311,864,I'm not clumsy,1,766,,2022-08-19 22:31:56
312,560,I'm not late,1,99,,2022-09-19 06:29:53
313,834,,,,What do you call an alligator in a vest? An investigator!,2022-07-26 04:37:42
314,702,I'm just concentrated awesome!,0,141,,2022-04-21 10:24:44
315,341,,,,Why did the tomato turn red? Because it saw the salad dressing!,2022-02-16 13:30:50
316,966,,,,it just let out a little wine!,2022-08-01 08:33:43
317,734,I'm not short,0,48,,2022-08-11 22:38:37
318,844,I'm not clumsy,0,825,,2023-02-19 06:15:30
319,898,I'm not weird,1,125,,2022-10-18 09:38:31
320,845,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-09-24 22:16:04
321,329,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2023-01-01 22:55:49
322,748,,,,Why did the coffee file a police report? It got mugged!,2022-10-19 21:28:39
323,515,Why do we park in a driveway and drive on a parkway?,1,331,,2022-11-13 23:54:30
324,767,I'm not fat,0,608,,2022-07-17 22:02:07
325,687,,,,Why did the chicken cross the playground? To get to the other slide!,2022-11-16 05:07:17
326,861,,,,What did the grape say when it got stepped on? Nothing,2022-03-17 23:21:04
327,783,,,,Why couldn't the bicycle stand up by itself? Because it was two-tired!,2022-11-28 23:21:14
328,20,,,,Why don't skeletons fight each other? They don't have the guts!,2022-06-11 06:17:27
329,256,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-11-16 07:33:44
330,794,I'm not lazy,0,186,,2022-06-29 00:32:13
331,291,,,,What do you get when you cross a snowman and a shark? Frostbite!,2023-01-29 07:15:46
332,821,I'm just using my outside voice.,0,182,,2022-08-03 14:43:15
333,344,,,,I told my wife she was drawing her eyebrows too high. She looked surprised.,2022-12-06 02:14:05
334,380,I'm not lazy,1,830,,2022-06-01 08:11:51
335,520,,,,Why don't skeletons fight each other? They don't have the guts!,2022-11-16 20:28:01
